usage_id,usage_date,usage_time,student_id,resource_type,building_name,duration_minutes,checkin_method,is_peak_time
1,2025-10-28,11:09:00,S02125,ComputerLab,ITB,84,FrontDesk,True
2,2025-10-28,21:47:00,S03366,Cafeteria,JHE,93,FrontDesk,True
3,2025-10-28,21:17:00,S03548,Gym,Mills Library,138,FrontDesk,True
4,2025-10-28,19:53:00,S01992,Library,Thode Library,115,CardSwipe,True
5,2025-10-28,18:11:00,S01129,Library,Thode Library,100,FrontDesk,True
6,2025-10-28,12:41:00,S02486,Library,Mills Library,102,MobileApp,True
7,2025-10-28,12:48:00,S00141,StudyRoom,ITB,89,MobileApp,True
8,2025-10-28,15:54:00,S03635,Library,Thode Library,109,MobileApp,False
9,2025-10-28,11:55:00,S01258,Library,JHE,78,FrontDesk,True
10,2025-10-28,13:31:00,S01363,StudyRoom,PGCLL,95,MobileApp,True
11,2025-10-28,16:02:00,S04743,StudyRoom,PGCLL,98,FrontDesk,False
12,2025-10-28,20:22:00,S01268,Library,Mills Library,100,FrontDesk,True
13,2025-10-28,21:19:00,S04857,ComputerLab,Thode Library,89,CardSwipe,True
14,2025-10-28,14:55:00,S02012,Cafeteria,ITB,115,FrontDesk,False
15,2025-10-28,19:47:00,S03381,Cafeteria,ITB,132,MobileApp,True
16,2025-10-28,20:17:00,S00511,StudyRoom,PGCLL,121,FrontDesk,True
17,2025-10-28,16:58:00,S01863,Library,JHE,70,CardSwipe,False
18,2025-10-28,13:39:00,S00564,Gym,PGCLL,95,MobileApp,True
19,2025-10-28,18:02:00,S04289,Gym,JHE,97,MobileApp,True
20,2025-10-28,14:59:00,S01628,Gym,DBAC,116,CardSwipe,False
21,2025-10-28,08:43:00,S04596,Gym,PGCLL,97,CardSwipe,False
22,2025-10-28,16:35:00,S01658,Cafeteria,ITB,39,FrontDesk,False
23,2025-10-28,21:48:00,S00702,Gym,ITB,92,CardSwipe,True
24,2025-10-28,13:54:00,S03266,Cafeteria,ITB,109,CardSwipe,True
25,2025-10-28,21:47:00,S03300,StudyRoom,Thode Library,92,CardSwipe,True
26,2025-10-28,18:37:00,S01113,StudyRoom,ITB,115,CardSwipe,True
27,2025-10-28,08:36:00,S00603,Gym,JHE,96,CardSwipe,False
28,2025-10-28,12:47:00,S04746,Library,JHE,97,CardSwipe,True
29,2025-10-28,13:19:00,S01992,ComputerLab,ITB,146,MobileApp,True
30,2025-10-28,21:56:00,S02963,StudyRoom,JHE,105,FrontDesk,True
31,2025-10-28,21:41:00,S04313,StudyRoom,JHE,74,FrontDesk,True
32,2025-10-28,20:06:00,S03872,Cafeteria,DBAC,82,FrontDesk,True
33,2025-10-28,09:46:00,S02945,Cafeteria,PGCLL,131,FrontDesk,False
34,2025-10-28,14:07:00,S04951,StudyRoom,JHE,105,CardSwipe,False
35,2025-10-28,20:41:00,S03284,Library,ITB,72,FrontDesk,True
36,2025-10-28,13:59:00,S02909,Cafeteria,PGCLL,65,CardSwipe,True
37,2025-10-28,12:21:00,S01682,Library,Thode Library,43,FrontDesk,True
38,2025-10-28,12:54:00,S02963,Cafeteria,PGCLL,109,MobileApp,True
39,2025-10-28,19:39:00,S04131,Library,Thode Library,58,CardSwipe,True
40,2025-10-28,19:24:00,S04341,ComputerLab,ITB,110,FrontDesk,True
41,2025-10-28,22:04:00,S04064,Library,Thode Library,100,FrontDesk,False
42,2025-10-28,11:48:00,S00720,Library,Thode Library,15,CardSwipe,True
43,2025-10-28,18:07:00,S00946,StudyRoom,Mills Library,100,CardSwipe,True
44,2025-10-28,17:55:00,S03052,Cafeteria,PGCLL,105,FrontDesk,False
45,2025-10-28,19:19:00,S01400,Gym,Mills Library,113,CardSwipe,True
46,2025-10-28,15:08:00,S00097,Library,Mills Library,15,MobileApp,False
47,2025-10-28,14:26:00,S01442,Library,PGCLL,104,CardSwipe,False
48,2025-10-28,18:08:00,S04169,Library,Mills Library,62,CardSwipe,True
49,2025-10-28,20:39:00,S02808,StudyRoom,PGCLL,107,FrontDesk,True
50,2025-10-28,18:56:00,S04918,StudyRoom,Thode Library,55,CardSwipe,True
51,2025-10-28,14:30:00,S03817,ComputerLab,Mills Library,72,FrontDesk,False
52,2025-10-28,18:48:00,S04727,Library,JHE,123,CardSwipe,True
53,2025-10-28,18:59:00,S02496,StudyRoom,PGCLL,65,MobileApp,True
54,2025-10-28,14:51:00,S03307,StudyRoom,Mills Library,117,CardSwipe,False
55,2025-10-28,12:46:00,S02910,Gym,DBAC,46,MobileApp,True
56,2025-10-28,08:49:00,S03510,Library,Mills Library,73,MobileApp,False
57,2025-10-28,11:14:00,S01466,Cafeteria,DBAC,117,FrontDesk,True
58,2025-10-28,19:13:00,S01233,StudyRoom,Thode Library,70,FrontDesk,True
59,2025-10-28,14:54:00,S04385,Cafeteria,ITB,60,CardSwipe,False
60,2025-10-28,21:19:00,S02303,Gym,DBAC,84,CardSwipe,True
61,2025-10-28,19:26:00,S03246,StudyRoom,JHE,51,MobileApp,True
62,2025-10-28,21:35:00,S01679,StudyRoom,Mills Library,79,CardSwipe,True
63,2025-10-28,12:40:00,S04708,Cafeteria,PGCLL,96,MobileApp,True
64,2025-10-28,19:38:00,S02862,Library,JHE,76,FrontDesk,True
65,2025-10-28,17:37:00,S02832,Library,PGCLL,126,FrontDesk,False
66,2025-10-28,19:06:00,S02427,Library,JHE,90,FrontDesk,True
67,2025-10-28,09:04:00,S02067,Cafeteria,DBAC,44,MobileApp,False
68,2025-10-28,20:41:00,S04558,ComputerLab,ITB,49,MobileApp,True
69,2025-10-28,21:11:00,S00884,StudyRoom,Mills Library,46,MobileApp,True
70,2025-10-28,11:38:00,S00529,Gym,DBAC,140,CardSwipe,True
71,2025-10-28,15:20:00,S00839,Gym,ITB,125,MobileApp,False
72,2025-10-28,14:10:00,S04966,Gym,PGCLL,71,MobileApp,False
73,2025-10-28,13:08:00,S02906,Library,ITB,110,CardSwipe,True
74,2025-10-28,13:32:00,S00129,Gym,DBAC,79,CardSwipe,True
75,2025-10-28,08:26:00,S04726,Library,Thode Library,130,FrontDesk,False
76,2025-10-28,13:32:00,S01626,StudyRoom,ITB,102,CardSwipe,True
77,2025-10-28,14:08:00,S04488,Library,Thode Library,70,FrontDesk,False
78,2025-10-28,13:24:00,S03382,ComputerLab,PGCLL,119,MobileApp,True
79,2025-10-28,20:23:00,S04814,Gym,Thode Library,103,MobileApp,True
80,2025-10-28,19:53:00,S03078,ComputerLab,ITB,100,FrontDesk,True
81,2025-10-28,11:03:00,S04561,Library,Thode Library,95,MobileApp,True
82,2025-10-28,12:37:00,S04019,ComputerLab,JHE,82,MobileApp,True
83,2025-10-28,20:33:00,S02485,Library,Thode Library,86,CardSwipe,True
84,2025-10-28,13:14:00,S01558,Library,Thode Library,71,CardSwipe,True
85,2025-10-28,20:59:00,S00611,StudyRoom,Thode Library,143,MobileApp,True
86,2025-10-28,11:23:00,S04870,Library,Thode Library,55,CardSwipe,True
87,2025-10-28,08:21:00,S01581,StudyRoom,PGCLL,90,CardSwipe,False
88,2025-10-28,19:16:00,S04387,ComputerLab,Thode Library,142,MobileApp,True
89,2025-10-28,20:44:00,S03891,Library,Thode Library,122,MobileApp,True
90,2025-10-28,18:45:00,S03698,Gym,PGCLL,75,CardSwipe,True
91,2025-10-28,20:38:00,S02365,StudyRoom,PGCLL,151,FrontDesk,True
92,2025-10-28,13:11:00,S02967,Library,JHE,61,CardSwipe,True
93,2025-10-28,13:36:00,S02105,Cafeteria,JHE,96,CardSwipe,True
94,2025-10-28,14:22:00,S03623,Gym,PGCLL,101,CardSwipe,False
95,2025-10-28,20:08:00,S03537,Gym,JHE,113,MobileApp,True
96,2025-10-28,12:58:00,S03226,Gym,JHE,80,CardSwipe,True
97,2025-10-28,10:12:00,S04167,Gym,DBAC,121,FrontDesk,False
98,2025-10-28,14:01:00,S03102,Library,Mills Library,97,MobileApp,False
99,2025-10-28,12:54:00,S04667,Gym,PGCLL,68,FrontDesk,True
100,2025-10-28,11:32:00,S00521,ComputerLab,JHE,82,FrontDesk,True
101,2025-10-28,21:28:00,S01880,StudyRoom,JHE,61,CardSwipe,True
102,2025-10-28,21:08:00,S04029,Cafeteria,JHE,100,MobileApp,True
103,2025-10-28,21:37:00,S04903,Library,Thode Library,121,FrontDesk,True
104,2025-10-28,14:31:00,S01680,StudyRoom,ITB,66,MobileApp,False
105,2025-10-28,21:22:00,S01791,Gym,DBAC,62,FrontDesk,True
106,2025-10-28,21:28:00,S04673,Gym,DBAC,104,FrontDesk,True
107,2025-10-28,20:03:00,S00180,Library,PGCLL,111,FrontDesk,True
108,2025-10-28,14:38:00,S04572,StudyRoom,Mills Library,101,FrontDesk,False
109,2025-10-28,20:43:00,S01051,Gym,DBAC,113,CardSwipe,True
110,2025-10-28,08:49:00,S02143,StudyRoom,Mills Library,45,MobileApp,False
111,2025-10-28,14:53:00,S04045,ComputerLab,Mills Library,46,FrontDesk,False
112,2025-10-28,10:52:00,S03291,Library,Thode Library,170,FrontDesk,False
113,2025-10-28,21:59:00,S03712,Cafeteria,JHE,111,MobileApp,True
114,2025-10-28,22:06:00,S00810,StudyRoom,PGCLL,80,FrontDesk,False
115,2025-10-28,13:39:00,S00777,StudyRoom,Mills Library,104,MobileApp,True
116,2025-10-28,21:07:00,S01637,Gym,DBAC,122,CardSwipe,True
117,2025-10-28,21:20:00,S02640,Library,JHE,97,MobileApp,True
118,2025-10-28,18:31:00,S01944,Gym,DBAC,90,MobileApp,True
119,2025-10-28,20:51:00,S03076,Library,Thode Library,114,CardSwipe,True
120,2025-10-28,21:56:00,S03986,StudyRoom,PGCLL,123,MobileApp,True
121,2025-10-28,12:29:00,S02803,Gym,ITB,106,CardSwipe,True
122,2025-10-28,16:51:00,S04904,ComputerLab,JHE,136,FrontDesk,False
123,2025-10-28,14:21:00,S02347,Cafeteria,Thode Library,172,CardSwipe,False
124,2025-10-28,18:06:00,S00019,Cafeteria,PGCLL,68,MobileApp,True
125,2025-10-28,18:47:00,S03870,Library,PGCLL,78,FrontDesk,True
126,2025-10-28,19:19:00,S04761,Library,Mills Library,45,CardSwipe,True
127,2025-10-28,17:02:00,S04275,ComputerLab,PGCLL,112,MobileApp,False
128,2025-10-28,13:45:00,S03583,Library,ITB,74,CardSwipe,True
129,2025-10-28,14:08:00,S04231,Gym,DBAC,77,MobileApp,False
130,2025-10-28,19:54:00,S04284,Library,JHE,61,CardSwipe,True
131,2025-10-28,12:59:00,S01950,Library,ITB,58,CardSwipe,True
132,2025-10-28,20:02:00,S01131,Library,JHE,142,MobileApp,True
133,2025-10-28,09:11:00,S03175,Gym,ITB,139,CardSwipe,False
134,2025-10-28,13:50:00,S02522,ComputerLab,Mills Library,104,MobileApp,True
135,2025-10-28,09:15:00,S04974,Library,Thode Library,94,CardSwipe,False
136,2025-10-28,11:10:00,S03259,ComputerLab,ITB,93,MobileApp,True
137,2025-10-28,19:45:00,S02897,Gym,ITB,37,CardSwipe,True
138,2025-10-28,14:44:00,S02940,StudyRoom,Thode Library,90,MobileApp,False
139,2025-10-28,21:56:00,S04317,ComputerLab,Mills Library,81,CardSwipe,True
140,2025-10-28,11:45:00,S01214,Library,Mills Library,96,FrontDesk,True
141,2025-10-28,10:45:00,S04387,ComputerLab,PGCLL,92,CardSwipe,False
142,2025-10-28,19:36:00,S01665,ComputerLab,Mills Library,46,FrontDesk,True
143,2025-10-28,18:49:00,S03220,Library,Mills Library,62,FrontDesk,True
144,2025-10-28,13:48:00,S04969,Gym,DBAC,34,CardSwipe,True
145,2025-10-28,12:07:00,S02366,Library,JHE,95,MobileApp,True
146,2025-10-28,18:48:00,S02254,Library,Thode Library,101,MobileApp,True
147,2025-10-28,13:18:00,S04544,StudyRoom,JHE,80,CardSwipe,True
148,2025-10-28,15:42:00,S01278,StudyRoom,Thode Library,66,CardSwipe,False
149,2025-10-28,15:13:00,S04269,Library,Mills Library,43,MobileApp,False
150,2025-10-28,15:23:00,S01304,Library,Thode Library,113,CardSwipe,False
151,2025-10-28,21:43:00,S00307,Cafeteria,JHE,71,FrontDesk,True
152,2025-10-28,21:47:00,S03687,StudyRoom,Mills Library,103,MobileApp,True
153,2025-10-28,14:43:00,S00864,ComputerLab,Thode Library,111,FrontDesk,False
154,2025-10-28,11:57:00,S00323,Cafeteria,JHE,95,FrontDesk,True
155,2025-10-28,13:05:00,S04863,StudyRoom,Thode Library,70,CardSwipe,True
156,2025-10-28,12:17:00,S02312,Gym,DBAC,96,FrontDesk,True
157,2025-10-28,10:42:00,S03802,Library,Mills Library,130,MobileApp,False
158,2025-10-28,12:42:00,S00600,StudyRoom,Thode Library,104,CardSwipe,True
159,2025-10-28,20:19:00,S01714,StudyRoom,Mills Library,107,FrontDesk,True
160,2025-10-28,13:13:00,S02838,StudyRoom,ITB,87,FrontDesk,True
161,2025-10-28,17:33:00,S04239,Gym,DBAC,140,CardSwipe,False
162,2025-10-28,14:08:00,S00125,Cafeteria,PGCLL,110,FrontDesk,False
